data,dinheiro
04/06/2026,50
04/06/2026,60
05/06/2026,50
06/06/2026,60
07/06/2026,50
07/06/2026,50
07/06/2026,50
08/06/2026,"51,5"
08/06/2026,50
09/06/2026,50
09/06/2026,50
10/06/2026,50
10/06/2026,50
12/06/2026,60
12/06/2026,"79,8"
14/06/2026,60
14/06/2026,50
15/06/2026,50
16/06/2026,60
16/06/2026,90
16/06/2026,50
16/06/2026,50
16/06/2026,"51,5"
18/06/2026,50
20/06/2026,100
20/06/2026,"172,8"
21/06/2026,69
21/06/2026,60
21/06/2026,60
21/06/2026,60
21/06/2026,60
24/06/2026,50
24/06/2026,50
25/06/2026,50
26/06/2026,50
26/06/2026,90
27/06/2026,60
28/06/2026,60
28/06/2026,108
28/06/2026,108
29/06/2026,50
30/06/2026,60
30/06/2026,60
30/06/2026,60
01/07/2026,108
01/07/2026,100
01/07/2026,50
01/07/2026,192
02/07/2026,78
02/07/2026,70
03/07/2026,3
04/07/2026,60
04/07/2026,50
06/07/2026,60
08/07/2026,50
09/07/2026,50
09/07/2026,100
10/07/2026,60
10/07/2026,50
11/07/2026,50
11/07/2026,50
11/07/2026,100
11/07/2026,60
11/07/2026,36
11/07/2026,60
13/07/2026,60
14/07/2026,50
14/07/2026,60
15/07/2026,50
15/07/2026,40
15/07/2026,60
16/07/2026,100
17/07/2026,100
18/07/2026,300
18/07/2026,60
18/07/2026,60
18/07/2026,"72,6"
20/07/2026,1
20/07/2026,100